,filename,basedOn,testEdgeFraction,sampleId,negativeEdgeSampler,model,dim,trainNegativeEdgeSampler,withDegree,score,metric,data
76,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~1_negativeEdgeSampler~uniform_model~fastrp_dim~128.csv,emb,0.25,1,uniform,fastrp,128,,,0.805297128051358,aucroc,Princeton12
77,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~2_negativeEdgeSampler~uniform_model~fastrp_dim~128.csv,emb,0.25,2,uniform,fastrp,128,,,0.8128136071449458,aucroc,Princeton12
78,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~3_negativeEdgeSampler~uniform_model~fastrp_dim~128.csv,emb,0.25,3,uniform,fastrp,128,,,0.807573250685975,aucroc,Princeton12
79,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~4_negativeEdgeSampler~uniform_model~fastrp_dim~128.csv,emb,0.25,4,uniform,fastrp,128,,,0.8087990226669564,aucroc,Princeton12
80,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~0_negativeEdgeSampler~degreeBiased_model~fastrp_dim~128.csv,emb,0.25,0,degreeBiased,fastrp,128,,,0.8106562821891312,aucroc,Princeton12
81,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~1_negativeEdgeSampler~degreeBiased_model~fastrp_dim~128.csv,emb,0.25,1,degreeBiased,fastrp,128,,,0.8087970329715166,aucroc,Princeton12
82,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~2_negativeEdgeSampler~degreeBiased_model~fastrp_dim~128.csv,emb,0.25,2,degreeBiased,fastrp,128,,,0.814842852105877,aucroc,Princeton12
83,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~3_negativeEdgeSampler~degreeBiased_model~fastrp_dim~128.csv,emb,0.25,3,degreeBiased,fastrp,128,,,0.8097841132909327,aucroc,Princeton12
84,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~4_negativeEdgeSampler~degreeBiased_model~fastrp_dim~128.csv,emb,0.25,4,degreeBiased,fastrp,128,,,0.8117757352834316,aucroc,Princeton12
85,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~0_negativeEdgeSampler~heart_model~fastrp_dim~128.csv,emb,0.25,0,heart,fastrp,128,,,0.4582753743867517,aucroc,Princeton12
86,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~1_negativeEdgeSampler~heart_model~fastrp_dim~128.csv,emb,0.25,1,heart,fastrp,128,,,0.4568441085094591,aucroc,Princeton12
87,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~2_negativeEdgeSampler~heart_model~fastrp_dim~128.csv,emb,0.25,2,heart,fastrp,128,,,0.4686754523768613,aucroc,Princeton12
88,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~3_negativeEdgeSampler~heart_model~fastrp_dim~128.csv,emb,0.25,3,heart,fastrp,128,,,0.4625624712570564,aucroc,Princeton12
89,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~4_negativeEdgeSampler~heart_model~fastrp_dim~128.csv,emb,0.25,4,heart,fastrp,128,,,0.4649321858787629,aucroc,Princeton12
90,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~0_negativeEdgeSampler~uniform_model~SGTLaplacianExp_dim~128.csv,emb,0.25,0,uniform,SGTLaplacianExp,128,,,0.5438129805980725,aucroc,Princeton12
91,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~1_negativeEdgeSampler~uniform_model~SGTLaplacianExp_dim~128.csv,emb,0.25,1,uniform,SGTLaplacianExp,128,,,0.5095611783229039,aucroc,Princeton12
92,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~2_negativeEdgeSampler~uniform_model~SGTLaplacianExp_dim~128.csv,emb,0.25,2,uniform,SGTLaplacianExp,128,,,0.5209508895913433,aucroc,Princeton12
93,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~3_negativeEdgeSampler~uniform_model~SGTLaplacianExp_dim~128.csv,emb,0.25,3,uniform,SGTLaplacianExp,128,,,0.5043970120133913,aucroc,Princeton12
94,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~4_negativeEdgeSampler~uniform_model~SGTLaplacianExp_dim~128.csv,emb,0.25,4,uniform,SGTLaplacianExp,128,,,0.5044949096601234,aucroc,Princeton12
95,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~0_negativeEdgeSampler~degreeBiased_model~SGTLaplacianExp_dim~128.csv,emb,0.25,0,degreeBiased,SGTLaplacianExp,128,,,0.599641985598014,aucroc,Princeton12
96,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~1_negativeEdgeSampler~degreeBiased_model~SGTLaplacianExp_dim~128.csv,emb,0.25,1,degreeBiased,SGTLaplacianExp,128,,,0.5631666897414053,aucroc,Princeton12
97,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~2_negativeEdgeSampler~degreeBiased_model~SGTLaplacianExp_dim~128.csv,emb,0.25,2,degreeBiased,SGTLaplacianExp,128,,,0.5752978113661134,aucroc,Princeton12
